event_id,repo,file_name,real_defect,exception_type,exception_idx,http_status,app_code_changed,validator_changed,schema_changed,fixture_changed,config_changed,locator_healed,historical_flake_rate,commit_count,unique_developers,lines_added,lines_deleted,code_churn,file_age_days,commit_frequency,score_pre_only,score_fail_only,score_fused_rule,score_fused_ml
d4j-Cli-1,defects4j:Cli,src/java/org/apache/commons/cli/CommandLine.java,1,AssertionError,0,0,1,0,0,0,0,0,0.0,23,7,690,374,1064,8825,0.0182,0.9855615183557296,1.0,1.0,0.9999495482341936
d4j-Cli-1,defects4j:Cli,src/java/org/apache/commons/cli/UnrecognizedOptionException.java,0,AssertionError,0,0,1,0,0,0,0,0,0.0,7,6,118,80,198,991,0.0494,0.007229796917701147,1.0,0.08722979691770115,0.00015970163762532417
d4j-Cli-1,defects4j:Cli,src/java/org/apache/commons/cli/Options.java,0,AssertionError,0,0,1,0,0,0,0,0,0.0,24,7,1034,757,1791,991,0.1695,0.0032314558365170117,1.0,0.08323145583651702,0.00015970163762532417
d4j-Cli-1,defects4j:Cli,src/java/org/apache/commons/cli/AlreadySelectedException.java,0,AssertionError,0,0,1,0,0,0,0,0,0.0,8,5,117,79,196,682,0.0821,0.007110017427866067,1.0,0.08711001742786607,0.00015970163762532417
d4j-Cli-2,defects4j:Cli,src/java/org/apache/commons/cli/PosixParser.java,1,AssertionError,0,0,1,0,0,0,0,0,0.0,19,7,915,606,1521,8819,0.0151,0.9855615183557296,1.0,1.0,0.9998687285360721
d4j-Cli-2,defects4j:Cli,src/java/org/apache/commons/cli/OptionBuilder.java,0,AssertionError,0,0,1,0,0,0,0,0,0.0,19,4,626,254,880,941,0.1413,0.002947643611070447,1.0,0.08294764361107045,0.00017349616713158134
d4j-Cli-2,defects4j:Cli,src/java/org/apache/commons/cli/ParseException.java,0,AssertionError,0,0,1,0,0,0,0,0,0.0,7,6,116,80,196,991,0.0494,0.007229796917701147,1.0,0.08722979691770115,0.00015970163762532417
d4j-Cli-2,defects4j:Cli,src/java/org/apache/commons/cli/CommandLine.java,0,AssertionError,0,0,1,0,0,0,0,0,0.0,22,6,660,343,1003,1799,0.0856,0.002947643611070447,1.0,0.08294764361107045,0.00015970163762532417
d4j-Cli-2,defects4j:Cli,src/java/org/apache/commons/cli/GnuParser.java,0,AssertionError,0,0,1,0,0,0,0,0,0.0,16,5,752,579,1331,985,0.1137,0.002947643611070447,1.0,0.08294764361107045,0.00015970163762532417
d4j-Cli-2,defects4j:Cli,src/java/org/apache/commons/cli/Option.java,0,AssertionError,0,0,1,0,0,0,0,0,0.0,27,7,1273,639,1912,1799,0.1051,0.002947643611070447,1.0,0.08294764361107045,0.00016724223038136298
d4j-Cli-2,defects4j:Cli,src/java/org/apache/commons/cli/HelpFormatter.java,0,AssertionError,0,0,1,0,0,0,0,0,0.0,18,6,1641,733,2374,990,0.1273,0.002947643611070447,1.0,0.08294764361107045,0.00016724223038136298
d4j-Cli-3,defects4j:Cli,src/java/org/apache/commons/cli/TypeHandler.java,1,AssertionError,0,0,1,0,0,0,0,0,0.0,13,8,419,165,584,8825,0.0103,0.9544159161356098,1.0,1.0,0.9994439725798618
d4j-Cli-3,defects4j:Cli,src/java/org/apache/commons/cli/Option.java,0,AssertionError,0,0,1,0,0,0,0,0,0.0,28,7,1284,639,1923,1809,0.1083,0.002947643611070447,1.0,0.08294764361107045,0.00016724223038136298
d4j-Cli-3,defects4j:Cli,src/java/org/apache/commons/cli/OptionBuilder.java,0,AssertionError,0,0,1,0,0,0,0,0,0.0,19,4,626,254,880,941,0.1413,0.002947643611070447,1.0,0.08294764361107045,0.00017349616713158134
d4j-Cli-3,defects4j:Cli,src/java/org/apache/commons/cli/MissingOptionException.java,0,AssertionError,0,0,1,0,0,0,0,0,0.0,7,5,119,82,201,682,0.0718,0.007229796917701147,1.0,0.08722979691770115,0.00015970163762532417
d4j-Cli-3,defects4j:Cli,src/java/org/apache/commons/cli/HelpFormatter.java,0,AssertionError,0,0,1,0,0,0,0,0,0.0,18,6,1641,733,2374,990,0.1273,0.002947643611070447,1.0,0.08294764361107045,0.00016724223038136298
d4j-Cli-3,defects4j:Cli,src/java/org/apache/commons/cli/PatternOptionBuilder.java,0,AssertionError,0,0,1,0,0,0,0,0,0.0,15,7,366,154,520,1812,0.0579,0.002947643611070447,1.0,0.08294764361107045,0.00015970163762532417
d4j-Cli-3,defects4j:Cli,src/java/org/apache/commons/cli/CommandLineParser.java,0,AssertionError,0,0,1,0,0,0,0,0,0.0,10,5,207,117,324,682,0.1026,0.0073751243329276284,1.0,0.08737512433292763,0.00015970163762532417
d4j-Cli-4,defects4j:Cli,src/java/org/apache/commons/cli/Parser.java,1,AssertionError,0,0,1,0,0,0,0,0,0.0,24,7,715,300,1015,8750,0.0192,0.9855615183557296,1.0,1.0,0.999832492197711
d4j-Cli-4,defects4j:Cli,src/java/org/apache/commons/cli/CommandLine.java,0,AssertionError,0,0,1,0,0,0,0,0,0.0,23,6,666,348,1014,1812,0.0889,0.002947643611070447,1.0,0.08294764361107045,0.00015970163762532417
d4j-Cli-4,defects4j:Cli,src/java/org/apache/commons/cli/CommandLineParser.java,0,AssertionError,0,0,1,0,0,0,0,0,0.0,11,6,213,122,335,1812,0.0425,0.0073751243329276284,1.0,0.08737512433292763,0.00015970163762532417
d4j-Cli-4,defects4j:Cli,src/java/org/apache/commons/cli/OptionBuilder.java,0,AssertionError,0,0,1,0,0,0,0,0,0.0,20,5,632,259,891,1763,0.0794,0.002947643611070447,1.0,0.08294764361107045,0.00015970163762532417
d4j-Cli-5,defects4j:Cli,src/java/org/apache/commons/cli/Util.java,1,AssertionError,0,0,1,0,0,0,0,0,0.0,13,7,188,121,309,8825,0.0103,0.9566729451594477,1.0,1.0,0.9996980959273102
d4j-Cli-5,defects4j:Cli,src/java/org/apache/commons/cli/Option.java,0,AssertionError,0,0,1,0,0,0,0,0,0.0,30,7,1291,645,1936,1812,0.1159,0.002947643611070447,1.0,0.08294764361107045,0.00016724223038136298
d4j-Cli-5,defects4j:Cli,src/java/org/apache/commons/cli/ParseException.java,0,AssertionError,0,0,1,0,0,0,0,0,0.0,8,7,122,85,207,1812,0.0309,0.006460638044673085,1.0,0.08646063804467309,0.00015970163762532417
d4j-Cli-7,defects4j:Cli,src/java/org/apache/commons/cli2/builder/PatternBuilder.java,1,AssertionError,0,0,1,0,0,0,0,0,0.0,5,3,212,10,222,8143,0.0043,0.07066963196095385,1.0,0.15066963196095384,5.860333959593367e-05
d4j-Cli-7,defects4j:Cli,src/java/org/apache/commons/cli2/builder/DefaultOptionBuilder.java,0,AssertionError,0,0,1,0,0,0,0,0,0.0,6,3,274,59,333,857,0.049,0.003974765873184844,1.0,0.08397476587318485,0.00017349616713158134
d4j-Cli-7,defects4j:Cli,src/java/org/apache/commons/cli2/builder/GroupBuilder.java,0,AssertionError,0,0,1,0,0,0,0,0,0.0,3,2,124,6,130,857,0.0245,0.001663092469434262,1.0,0.08166309246943426,0.00019253153769722316
d4j-Cli-7,defects4j:Cli,src/java/org/apache/commons/cli2/builder/CommandBuilder.java,0,AssertionError,0,0,1,0,0,0,0,0,0.0,5,3,253,66,319,857,0.0408,0.0047340441168349885,1.0,0.084734044116835,0.00017349616713158134
d4j-Cli-7,defects4j:Cli,src/java/org/apache/commons/cli2/builder/ArgumentBuilder.java,0,AssertionError,0,0,1,0,0,0,0,0,0.0,6,3,324,38,362,857,0.049,0.00397136162328215,1.0,0.08397136162328216,0.00017349616713158134
d4j-Cli-7,defects4j:Cli,src/java/org/apache/commons/cli2/builder/SwitchBuilder.java,0,AssertionError,0,0,1,0,0,0,0,0,0.0,7,3,236,42,278,857,0.0572,0.0039416487546899024,1.0,0.0839416487546899,0.00017349616713158134
d4j-Cli-8,defects4j:Cli,src/java/org/apache/commons/cli/HelpFormatter.java,1,AssertionError,0,0,1,0,0,0,0,0,0.0,24,9,1716,759,2475,8825,0.019,0.9842348192204501,1.0,1.0,0.9998375968255462
d4j-Cli-8,defects4j:Cli,src/java/org/apache/commons/cli/OptionGroup.java,0,AssertionError,0,0,1,0,0,0,0,0,0.0,14,7,323,157,480,1987,0.0493,0.002947643611070447,1.0,0.08294764361107045,0.00015970163762532417
d4j-Cli-8,defects4j:Cli,src/java/org/apache/commons/cli/MissingOptionException.java,0,AssertionError,0,0,1,0,0,0,0,0,0.0,8,6,125,87,212,1812,0.0309,0.006460638044673085,1.0,0.08646063804467309,0.00015970163762532417
d4j-Cli-8,defects4j:Cli,src/java/org/apache/commons/cli/Util.java,0,AssertionError,0,0,1,0,0,0,0,0,0.0,12,6,188,118,306,1821,0.0461,0.007033789017733657,1.0,0.08703378901773366,0.00015970163762532417
d4j-Cli-8,defects4j:Cli,src/java/org/apache/commons/cli/CommandLine.java,0,AssertionError,0,0,1,0,0,0,0,0,0.0,24,6,670,349,1019,1987,0.0845,0.002947643611070447,1.0,0.08294764361107045,0.00015970163762532417
d4j-Cli-9,defects4j:Cli,src/java/org/apache/commons/cli/Parser.java,1,AssertionError,0,0,1,0,0,0,0,0,0.0,27,7,753,323,1076,8750,0.0216,0.9855615183557296,1.0,1.0,0.9998895274283874
d4j-Cli-9,defects4j:Cli,src/java/org/apache/commons/cli/GnuParser.java,0,AssertionError,0,0,1,0,0,0,0,0,0.0,18,6,764,586,1350,1806,0.0698,0.002947643611070447,1.0,0.08294764361107045,0.00015970163762532417
