event_id,repo,file_name,real_defect,pre_only,fail_only,fused_rule,fused_ml
elasticsearch-ev00000,elasticsearch,elasticsearch/x-pack/watcher/src/main/java/org/elasticsearch/watcher/condition/script/ScriptCondition.java,0,0.18990032973200868,1.0,0.2399003297320087,0.21581976306480047
elasticsearch-ev00000,elasticsearch,x-pack/plugin/sql/src/benchmarks/generated/org/elasticsearch/xpack/sql/action/jmh_generated/OperatorBenchmark_testVisitAllDocsBatched_jmhTest.java,1,0.4190855387490486,1.0,0.46908553874904857,0.587179920677185
elasticsearch-ev00000,elasticsearch,test/fixtures/minio-fixture/docker-compose.yml,1,0.7872738860446818,1.0,0.8372738860446819,0.8940689336647891
elasticsearch-ev00001,elasticsearch,x-pack/plugin/transform/qa/multi-cluster-tests-with-security/src/test/resources/rest-api-spec/test/multi_cluster/80_transform.yml,1,0.8667131694680229,1.0,0.863109810792772,0.9397295833051944
elasticsearch-ev00001,elasticsearch,server/src/main/java/org/elasticsearch/rest/action/admin/cluster/RestClusterUpdateSettingsAction.java,1,0.957182094982767,1.0,0.953578736307516,0.974857087537483
elasticsearch-ev00001,elasticsearch,plugins/hadoop/src/main/java/es-plugin.properties,0,0.14638236799000376,1.0,0.1427790093147529,0.5149816111596727
elasticsearch-ev00001,elasticsearch,build-tools-internal/src/testKit/elasticsearch.build/licenses/hamcrest-core-1.3.jar.sha1,0,0.09743260741567486,1.0,0.093829248740424,0.2552838197007439
elasticsearch-ev00001,elasticsearch,core/src/test/java/org/elasticsearch/plugins/PluginManagerIT.java,1,0.9495579550316204,1.0,0.9459545963563695,0.9683160131897345
elasticsearch-ev00002,elasticsearch,elasticsearch/src/main/java/org/elasticsearch/xpack/prelert/action/GetInfluencersAction.java,1,0.8589379918840827,1.0,0.7129186691929645,0.9157399453813777
elasticsearch-ev00002,elasticsearch,client/{ => rest}/src/main/java/org/elasticsearch/client/DeadHostState.java,0,0.06483039523203936,1.0,0.0,0.1600138069754971
elasticsearch-ev00002,elasticsearch,x-pack/plugin/core/src/main/java/org/elasticsearch/xpack/core/watcher/trigger/TriggerEvent.java,1,0.8242118499684503,1.0,0.6781925272773321,0.8938837649366255
elasticsearch-ev00002,elasticsearch,core/src/test/resources/org/elasticsearch/index/query/multiMatch-query-simple.json,0,0.10284079860774596,1.0,0.0,0.2552838197007439
elasticsearch-ev00002,elasticsearch,server/src/main/java/org/elasticsearch/action/admin/cluster/health/ClusterHealthResponse.java,1,0.9590665463424158,1.0,0.8130472236512978,0.9756802480578304
elasticsearch-ev00003,elasticsearch,plugin/{ => core}/src/test/java/org/elasticsearch/xpack/ssl/SSLConfigurationTests.java,0,0.06483039523203936,1.0,0.0,0.14329984107169744
elasticsearch-ev00003,elasticsearch,client/rest-high-level/src/main/java/org/elasticsearch/client/transform/transforms/TransformCheckpointingInfo.java,1,0.8466142624591035,1.0,0.7766360344518694,0.9333330525921425
elasticsearch-ev00003,elasticsearch,server/src/main/java/org/elasticsearch/threadpool/ScalingExecutorBuilder.java,1,0.8887114528324608,1.0,0.8187332248252266,0.9355074188982002
elasticsearch-ev00003,elasticsearch,{src => core/src}/main/java/org/elasticsearch/index/query/FuzzyQueryBuilder.java,0,0.06483039523203936,1.0,0.0,0.14329984107169744
elasticsearch-ev00003,elasticsearch,src/main/java/org/elasticsearch/index/analysis/RussianStemTokenFilterFactory.java,1,0.6516605477548227,1.0,0.5816823197475885,0.759459318904506
elasticsearch-ev00003,elasticsearch,x-pack/plugin/esql/compute/src/main/generated/org/elasticsearch/compute/aggregation/spatial/{SpatialCentroidGeoPointSourceValuesAggregatorFunction.java => SpatialCentroidPointSourceValuesAggregatorFunction.java},0,0.16861387897783994,1.0,0.09863565097060574,0.23697371430686326
elasticsearch-ev00004,elasticsearch,docs/java-rest/high-level/execution-no-req.asciidoc,1,0.6106988454204396,1.0,0.44844731590457754,0.7581810368407095
elasticsearch-ev00004,elasticsearch,x-pack/plugin/esql-datasource-iceberg/src/test/java/org/elasticsearch/xpack/esql/datasource/iceberg/IcebergTableMetadataTests.java,0,0.49918232738599644,1.0,0.3369307978701344,0.6516092596462777
elasticsearch-ev00004,elasticsearch,x-pack/plugin/core/src/main/java/org/elasticsearch/xpack/core/searchablesnapshots/SearchableSnapshotsConstants.java,1,0.7282581055483387,1.0,0.5660065760324766,0.8592144594423022
elasticsearch-ev00004,elasticsearch,docs/reference/esql/functions/types/least.asciidoc,1,0.8757165251790485,1.0,0.7134649956631864,0.9191397925122062
elasticsearch-ev00004,elasticsearch,src/test/java/org/elasticsearch/tribe/TribeTests.java,1,0.9613161247936718,1.0,0.7990645952778097,0.9718999354501526
elasticsearch-ev00004,elasticsearch,server/src/test/java/org/elasticsearch/cluster/routing/allocation/BalanceUnbalancedClusterTests.java,0,0.9097698698543112,1.0,0.7475183403384491,0.942965011318921
elasticsearch-ev00004,elasticsearch,x-pack/plugin/security/qa/multi-cluster/src/javaRestTest/java/org/elasticsearch/xpack/remotecluster/RemoteClusterSecurityRCS2PainlessExecuteIT.java,0,0.5991868098498734,1.0,0.4369352803340113,0.7279970659655716
elasticsearch-ev00005,elasticsearch,x-pack/plugin/core/src/main/java/org/elasticsearch/license/RestGetLicenseAction.java,1,0.9595308671505728,1.0,1.0,0.9710525882244181
elasticsearch-ev00005,elasticsearch,{core => server}/src/main/java/org/elasticsearch/action/admin/cluster/repositories/verify/VerifyRepositoryAction.java,0,0.06483039523203936,1.0,0.14483039523203936,0.15409908686291066
elasticsearch-ev00005,elasticsearch,plugins/ingest/src/main/java/org/elasticsearch/ingest/processor/{uppercase => }/UppercaseProcessor.java,0,0.17190989341446233,1.0,0.25190989341446235,0.21581976306480047
elasticsearch-ev00005,elasticsearch,rest-api-spec/src/main/resources/rest-api-spec/test/suggest/30_context.yaml,1,0.5771492214427684,1.0,0.6571492214427683,0.7818976355570058
elasticsearch-ev00005,elasticsearch,core/src/main/java/org/elasticsearch/action/admin/cluster/state/ClusterStateResponse.java,1,0.7203780441492713,1.0,0.8003780441492713,0.8447968198828512
elasticsearch-ev00005,elasticsearch,tests.policy => shield/tests.policy,0,0.06483039523203936,1.0,0.14483039523203936,0.15409908686291066
elasticsearch-ev00006,elasticsearch,docs/changelog/123150.yaml,0,0.42289488770758615,1.0,0.3849416520356278,0.47250693060408083
elasticsearch-ev00006,elasticsearch,plugins/ingest-useragent/src/test/java/org/elasticsearch/ingest/useragent/UserAgentProcessorFactoryTests.java,1,0.5323336635481409,1.0,0.49438042787618264,0.6331738118761869
elasticsearch-ev00006,elasticsearch,docs/changelog/107862.yaml,1,0.4333241341288899,1.0,0.39537089845693163,0.47229083325305865
elasticsearch-ev00007,elasticsearch,rest-api-spec/src/{main => yamlRestTest}/resources/rest-api-spec/test/update/TODO.txt,0,0.06483039523203936,1.0,0.019169069322905824,0.1408269986230238
elasticsearch-ev00007,elasticsearch,core/src/test/java/org/elasticsearch/search/aggregations/bucket/SignificantTermsBackwardCompatibilityIT.java,1,0.7729970120087953,1.0,0.7273356860996618,0.8892225716665804
elasticsearch-ev00007,elasticsearch,x-pack/plugin/esql/qa/testFixtures/src/main/java/org/elasticsearch/xpack/esql/CsvTestsDataLoader.java,1,0.9632561706289241,1.0,0.9175948447197906,0.976068888755085
elasticsearch-ev00007,elasticsearch,{modules/elasticsearch/src => src}/main/java/org/elasticsearch/common/inject/internal/NullOutputException.java,0,0.06483039523203936,1.0,0.019169069322905824,0.1408269986230238
